,language,total bits,total characters,BPC,total loss
0,ukr_Cyrl,,70452,4.271516775296078,208593.56365966797
1,rus_Cyrl,,49444,3.751574804654685,128573.85614013672
2,spa_Latn,,41970,4.539706344210652,132066.35488891602
3,eng_Latn,,27766,4.917961651574386,94650.71920776367
4,ita_Latn,,44832,4.757844326998485,147850.8422241211
5,nld_Latn,,43692,5.144295468701678,155794.91940307617
6,fra_Latn,,43210,3.986537763310918,119400.35272216797
7,deu_Latn,,43286,4.9124227193378704,147390.2133178711
8,arb_Arab,,45708,5.072235080947593,160700.43530273438
